Date,Close,High,Low,Open,trend
2019-08-02,106.59,107.58,106.5,107.34,107.119467216364
2019-08-05,105.95,106.69,105.78,106.59,107.0019218566195
2019-08-06,106.48,107.08,105.53,105.94,106.88805067410199
2019-08-07,106.28,106.48,105.5,106.48,106.78003970783972
2019-08-08,106.08,106.31,105.89,106.28,106.67981996518967
2019-08-09,105.67,106.12,105.27,106.08,106.58900992869138
2019-08-12,105.31,105.7,105.05,105.58,106.50885319340617
2019-08-13,106.75,106.98,105.06,105.31,106.44001897318992
2019-08-14,105.91,106.78,105.66,106.75,106.3824271986526
2019-08-15,106.12,106.78,105.7,105.92,106.33619153854596
2019-08-16,106.38,106.5,106.03,106.12,106.30113039462256
2019-08-19,106.64,106.7,106.25,106.34,106.27692704892328
2019-08-20,106.23,106.69,106.17,106.63,106.26331407699232
2019-08-21,106.62,106.66,106.22,106.22,106.26025097496834
2019-08-22,106.44,106.66,106.25,106.61,106.26767641769189
2019-08-23,105.41,106.75,105.27,106.44,106.28575392314414
2019-08-26,106.14,106.41,104.45,105.14,106.31475471154526
2019-08-27,105.73,106.17,105.59,106.16,106.35440265691342
2019-08-28,106.12,106.23,105.66,105.75,106.40431241157206
2019-08-29,106.52,106.69,105.83,106.12,106.46370837618406
2019-08-30,106.31,106.56,106.11,106.5,106.53163725615508
2019-09-02,106.22,106.41,105.92,106.25,106.60718093915568
2019-09-03,105.94,106.4,105.74,106.23,106.68928278957128
2019-09-04,106.39,106.44,105.83,105.94,106.77664418370028
2019-09-05,106.92,107.22,106.31,106.36,106.86749819609757
2019-09-06,106.92,107.11,106.62,106.95,106.95983624870327
2019-09-09,107.25,107.28,106.77,106.83,107.05168257708488
2019-09-10,107.55,107.59,107.19,107.25,107.14103651915443
2019-09-11,107.83,107.86,107.5,107.55,107.22602136121318
2019-09-12,108.11,108.19,107.52,107.83,107.30501599173799
2019-09-13,108.08,108.28,107.92,108.09,107.37677678585491
2019-09-16,108.14,108.17,107.48,107.67,107.44056323369523
2019-09-17,108.14,108.38,108.03,108.11,107.49607433989912
2019-09-18,108.45,108.48,108.08,108.12,107.54344625708566
2019-09-19,108.02,108.47,107.78,108.45,107.58321759141147
2019-09-20,107.56,108.09,107.53,108.02,107.61649354512257
